#Cloud,Name,Av,alpha,T_bol,L_bol,alphaPrime,TbolPrime,LbolPrime,likelyAGB,RA,DEC,Class
Ophiuchus,J163154.4-250349,5.8,-1.2,1500.0,0.063,-1.45,1800.0,0.12,N,247.97666666666666,-25.06361111111111,II
Ophiuchus,J163154.7-250324,8.5,-0.6,1200.0,0.54,-1.04,1600.0,1.2,N,247.97791666666666,-25.05666666666667,II
Ophiuchus,J163159.3-245440,4.2,-0.9,1500.0,0.037,-1.16,1800.0,0.059,N,247.99708333333334,-24.91111111111111,II
Ophiuchus,J163200.9-245642,9.8,1.4,140.0,2.5,1.37,180.0,2.8,Y,248.00375,-24.945,0+I
Ophiuchus,J163205.5-250236,4.8,-1.1,1600.0,0.058,-1.25,1900.0,0.1,N,248.02291666666667,-25.043333333333337,II
Ophiuchus,J163211.8-244021,2.8,-1.7,1800.0,0.37,-1.7,1900.0,0.52,N,248.04916666666668,-24.6725,III
Ophiuchus,J163221.0-243035,15.5,-0.4,820.0,0.4,-0.89,1400.0,1.3,N,248.0875,-24.509722222222223,II
Ophiuchus,J163221.9-244214,2.8,-0.9,1500.0,0.15,-1.11,1700.0,0.21,N,248.09125,-24.703888888888887,II
Ophiuchus,J163222.6-242831,9.8,5.0,45.0,8.5,4.89,45.0,8.8,Y,248.0941666666667,-24.475277777777777,0+I
Ophiuchus,J163227.1-244843,7.3,-2.3,1800.0,1.7,-2.65,2000.0,4.3,N,248.11291666666668,-24.811944444444446,III
Ophiuchus,J163227.8-252501,1.9,-0.9,1600.0,0.013,-1.16,1700.0,0.017,N,248.11583333333334,-25.416944444444447,II
Ophiuchus,J163301.5-240355,14.6,-1.5,1100.0,0.062,-1.63,1500.0,0.21,N,248.25624999999997,-24.06527777777778,III
Ophiuchus,J163346.2-242752,8.8,-2.2,1700.0,0.3,-2.5,2000.0,0.88,N,248.44249999999997,-24.464444444444442,III
Ophiuchus,J163355.6-244205,4.6,-1.2,1500.0,0.17,-1.31,1800.0,0.29,Y,248.48166666666665,-24.70138888888889,II
Ophiuchus,J163519.4-241540,6.9,-0.6,1300.0,0.14,-0.88,1600.0,0.28,N,248.83083333333335,-24.261111111111113,II
Ophiuchus,J163603.9-242344,5.8,-2.1,1800.0,0.13,-2.36,2000.0,0.28,N,249.01625,-24.395555555555553,III
Ophiuchus,J163744.2-242805,9.2,-2.2,1700.0,0.54,-2.48,2000.0,1.6,N,249.43416666666667,-24.468055555555555,III
Ophiuchus,J163759.9-242146,8.6,-2.1,1700.0,0.25,-2.42,2000.0,0.71,N,249.49958333333333,-24.36277777777778,III
Ophiuchus,J163945.4-240203,9.3,-0.7,1100.0,0.76,-1.0,1500.0,1.7,N,249.93916666666667,-24.034166666666668,II
Ophiuchus,J163952.9-241931,9.8,-0.3,980.0,0.0011,-0.43,1500.0,0.0025,N,249.97041666666664,-24.325277777777778,II
Ophiuchus,J164424.2-240124,9.8,0.8,260.0,0.019,0.3,570.0,0.026,N,251.1008333333333,-24.023333333333333,0+I
Ophiuchus,J164428.8-241224,0.0,-2.3,2000.0,0.45,-2.34,2000.0,0.45,N,251.11999999999998,-24.206666666666667,III
Ophiuchus,J164429.3-241555,6.2,-2.0,1700.0,0.52,-2.2,2000.0,1.1,N,251.1220833333333,-24.26527777777778,III
Ophiuchus,J164526.6-240305,9.8,0.5,650.0,0.0025,0.23,1000.0,0.0046,N,251.36083333333332,-24.05138888888889,Flat
Ophiuchus,J164535.4-241422,4.7,-1.5,1800.0,0.23,-1.78,2000.0,0.43,N,251.39749999999998,-24.239444444444445,III
Ophiuchus_North,J164658.2-093519,5.7,0.7,230.0,0.44,0.61,280.0,0.5,Y,251.74249999999998,-9.588611111111112,0+I
Ophiuchus_North,J164817.6-141109,5.0,-0.7,1400.0,0.11,-1.28,1700.0,0.19,N,252.07333333333332,-14.185833333333333,II
Ophiuchus_North,J164821.8-141042,8.6,-1.0,1200.0,0.54,-1.3,1600.0,1.2,N,252.0908333333333,-14.178333333333333,II
Ophiuchus_North,J164845.6-141636,5.6,-1.0,1400.0,1.2,-1.38,1700.0,2.2,Y,252.19,-14.276666666666667,II
Ophiuchus_North,J164900.8-141710,3.3,-1.3,1700.0,0.54,-1.65,1800.0,0.81,N,252.2533333333333,-14.286111111111111,III
Ophiuchus_North,J164905.6-153713,12.8,-1.9,1500.0,0.87,-2.22,1900.0,3.6,N,252.2733333333333,-15.620277777777778,III
Ophiuchus_North,J162137.7-200036,7.9,-2.1,1700.0,1.2,-2.3,1900.0,3.0,N,245.4070833333333,-20.01,III
Ophiuchus_North,J162204.3-194326,5.7,0.0,580.0,1.2,-0.01,700.0,1.6,N,245.51791666666665,-19.723888888888887,Flat
Ophiuchus_North,J162209.6-195300,2.2,-2.1,1900.0,0.16,-2.29,2000.0,0.22,N,245.53999999999996,-19.883333333333333,III
Ophiuchus_North,J165719.6-160923,5.7,2.4,38.0,0.8,2.57,39.0,0.82,Y,254.33166666666665,-16.156388888888888,0+I
Perseus,J032519.5+303424,5.9,-0.1,770.0,0.0096,-0.14,940.0,0.014,N,51.33125,30.573333333333334,Flat
Perseus,J032522.3+304513,5.9,2.3,52.0,2.0,2.21,53.0,2.1,Y,51.34291666666666,30.753611111111113,0+I
Perseus,J032536.2+304515,5.9,1.6,12.0,8.5,1.51,12.0,8.5,Y,51.40083333333333,30.754166666666666,0+I
Perseus,J032536.4+304522,5.9,2.6,66.0,4.9,2.56,70.0,5.2,Y,51.40166666666667,30.75611111111111,0+I
Perseus,J032538.8+304406,5.9,2.2,47.0,6.9,2.05,48.0,7.0,Y,51.41166666666666,30.735,0+I
Perseus,J032539.1+304358,5.9,2.4,160.0,0.69,2.0,170.0,0.78,Y,51.41291666666666,30.732777777777777,0+I
Perseus,J032637.4+301528,5.9,1.1,64.0,0.91,1.03,73.0,0.94,Y,51.655833333333334,30.25777777777778,0+I
Perseus,J032738.2+301358,5.9,-0.2,260.0,0.78,-0.4,360.0,0.89,Y,51.909166666666664,30.232777777777777,II
Perseus,J032738.8+301257,5.9,1.0,180.0,0.021,0.99,190.0,0.025,N,51.91166666666666,30.215833333333332,0+I
Perseus,J032739.0+301303,5.9,2.7,62.0,3.5,2.46,65.0,3.6,Y,51.912499999999994,30.217499999999998,0+I
Perseus,J032741.4+302016,3.0,-0.9,1500.0,0.3,-1.06,1700.0,0.42,N,51.9225,30.337777777777777,II
Perseus,J032743.2+301228,5.9,2.4,54.0,1.7,2.23,57.0,1.7,Y,51.92999999999999,30.20777777777778,0+I
Perseus,J032747.6+301204,5.9,-0.1,740.0,2.5,-0.25,950.0,3.6,Y,51.94833333333333,30.20111111111111,Flat
Perseus,J032800.0+300847,4.8,-1.0,1400.0,0.2,-1.13,1700.0,0.32,N,51.99999999999999,30.14638888888889,II
Perseus,J032800.3+300801,5.9,1.0,230.0,0.25,0.98,280.0,0.29,Y,52.00124999999999,30.13361111111111,0+I
Perseus,J032832.5+311105,5.9,0.8,52.0,0.26,0.51,74.0,0.27,Y,52.13541666666666,31.184722222222224,0+I
Perseus,J032834.4+310051,5.9,0.8,240.0,1.1,0.88,290.0,1.3,Y,52.14333333333333,31.014166666666668,0+I
Perseus,J032834.5+310705,5.9,0.5,150.0,0.12,0.31,170.0,0.13,Y,52.14375,31.118055555555557,0+I
Perseus,J032834.9+305454,5.9,0.1,710.0,0.0083,-0.06,820.0,0.012,N,52.14541666666666,30.915,Flat
Perseus,J032835.0+302009,5.9,0.2,49.0,0.36,-0.2,89.0,0.36,Y,52.14583333333332,30.335833333333333,Flat
Perseus,J032837.0+311330,5.9,2.4,100.0,9.5,1.93,110.0,10.0,Y,52.15416666666666,31.224999999999998,0+I
